roomNormal,room15,5,4,,,,,,,,
small,tealBack,roomBorder,,,,,,,,,
room69,,,room14,,,,,,,,
wallBom,wall,wall,open,,,,,,,,
---,---,---,---,---,---,---,---,---,---,---,---
---,block,block,block,block,block,block,block,block,block,block,---
---,block,---,---,fstat,---,---,dstat,---,---,block,---
---,block,---,fstat,---,triforce,---,---,dstat,---,block,---
---,block,---,---,---,---,---,---,---,---,block,---
---,block,block,block,block,---,---,block,block,block,block,---
---,---,---,---,---,---,---,---,---,---,---,---
